local_symbol,adr_symbol,adr_exchange,sec_cik,notes
SHEL.L,SHEL,NYSE,,
AZN.L,AZN,NASDAQ,,
BP.L,BP,NYSE,,
GSK.L,GSK,NYSE,,
RIO.L,RIO,NYSE,,
HSBA.L,HSBC,NYSE,,
ULVR.L,UL,NYSE,,
DEO.L,DEO,NYSE,,
DGE.L,DEO,NYSE,,same issuer as DEO.L
NGG.L,NGG,NYSE,,
VOD.L,VOD,NASDAQ,,
BTI.L,BTI,NYSE,,
LIN.L,LIN,NASDAQ,,
RELI.L,RELX,NYSE,,
LSEG.L,LNSTY,OTC,,
BHP.L,BHP,NYSE,,
SAP.DE,SAP,NYSE,,
SIE.DE,SIEGY,OTC,,
DTE.DE,DTEGY,OTC,,
ALV.DE,ALIZY,OTC,,
BAS.DE,BASFY,OTC,,
MBG.DE,MBGAF,OTC,,
BMW.DE,BMWYY,OTC,,
MUV2.DE,MURGY,OTC,,
ADS.DE,ADDYY,OTC,,
SAN.PA,SNY,NASDAQ,,
OR.PA,LRLCY,OTC,,
AI.PA,AIQUY,OTC,,
MC.PA,LVMUY,OTC,,
SU.PA,SCGLY,OTC,,
BNP.PA,BNPQY,OTC,,
DG.PA,VEOEY,OTC,,
KER.PA,PPRUY,OTC,,
EL.PA,ESLOY,OTC,,
SAN.MC,SAN,NYSE,,
TEF.MC,TEF,NYSE,,
BBVA.MC,BBVA,NYSE,,
IBE.MC,IBDRY,OTC,,
NOVO-B.CO,NVO,NYSE,,
AZN.ST,AZN,NASDAQ,,
VOLV-B.ST,VLVLY,OTC,,
ERIC-B.ST,ERIC,NASDAQ,,
NESTE.HE,NTOIY,OTC,,
NOKIA.HE,NOK,NYSE,,explicit Finnish local listing to ADR
ASML.AS,ASML,NASDAQ,,
7203.T,TM,NYSE,,
6758.T,SONY,NYSE,,
9984.T,SFTBY,OTC,,
8306.T,MUFG,NYSE,,
6861.T,KYOCY,OTC,,
7267.T,HMC,NYSE,,
BHP.AX,BHP,NYSE,,
CSL.AX,CSLLY,OTC,,
WBC.AX,WBCFY,OTC,,
RY.TO,RY,NYSE,,
TD.TO,TD,NYSE,,
ENB.TO,ENB,NYSE,,
CNR.TO,CNI,NYSE,,
BMO.TO,BMO,NYSE,,
BNS.TO,BNS,NYSE,,
0700.HK,TCEHY,OTC,,
9988.HK,BABA,NYSE,,
3690.HK,MPNGY,OTC,,
